title,id,grant_ref,status,grant_category,funder,grant_offer,lead_org,start_date,end_date,staff_members,roles,abstract,tags
Beyond the Multiplex: Audiences for Specialised Film in English Regions,A154A89E-7CC2-424D-801F-D99A17ED7907,AH/P005780/2,Closed,Research Grant,AHRC,498124,University of Glasgow,2018-06-30,2021-05-30,Bridgette Wessels,Bridgette Wessels (PI),"The aim of the project is to understand firstly how to enable a wider range of audiences to participate in a more diverse film culture that embraces the wealth of films beyond the mainstream; and secondly how to optimise the cultural value of engaging with those less familiar films, identified here as 'specialised' films. We will do this by investigating how audiences engage with and form around specialised films in four English regions. Audience formation is here understood as the processes of engagement with films that generate audience experiences. Drawing on industry definitions, specialised films are understood as films outside the mainstream, including small scale UK films, foreign language, documentary, archive and hard-to-pigeonhole films, and films with unconventional narratives, themes or cinematic techniques. Provision of mainstream film is good across England; however, provision of specialised films is low across the English regions outside London, which limits the opportunities for people to experience a more diverse film culture. We need to know more about the provision of specialised films in those regions, and how audiences form in relation to specialised film provision. Although audience reception studies have made audiences increasingly visible within academic debate and although the industry and policy makers also gather intelligence about audiences, little attention has been paid to the specific contextual relationships and interactions between media and people that generate and sustain audiences in English regions. Audience policy for specialised films takes a regional approach in attempting to improve provision and create a more diverse film culture. Our project aims to provide a firm evidence base for such policy developments by establishing a detailed understanding of how audiences form in their engagement with specialised films, the extent to which they are committed to film cultural diversity and the role that regional identity plays in that process. To achieve these aims requires an holistic approach that addresses the details of consumption and the opportunities to consume, namely the provision of film at a regional level, including online. The goal is both to advance scholarship and to provide concrete recommendations about how UK audience policies can be improved.

This focused, comprehensive and impactful project will explore the relationship between audiences and specialised films by examining the practices of venue-based and online film consumption, how different audiences experience specialised films, and the value of venues in the regional provision of film. It will also address the provision of specialised film by examining the industry processes of funding, production, distribution and exhibition (including online) of specialised films in four English regions. The audience research will involve a multilevel comparative study of audience formation in relation to specialised films in four English regions, collecting data that is in depth and at scale and using innovative digital humanities analytical methods. Following an earlier pilot study (http://www.hrionline.ac.uk/fhn), we have developed a highly experienced interdisciplinary team to undertake this project, comprised of academic experts in film studies, sociology, cultural policy, digital humanities and partners from film policy and the film industry. Through a partnership with the British Film Institute's (BFI) Film Audience Network and the Film Hubs (which organise provision of specialised film and foster audience participation regionally), the project is designed to have direct impact on the BFI's efforts to improve regional audience figures, widen film choice, and enhance the cultural benefits of specialised film. The project will therefore establish a strong relationship between the scholarly understanding of audiences and the development of official audience policies and industry practices in the context of regional provision.",Culture & Heritage; Governance & Policy; Economy & Development
Biodiversity indicators from nonprobability samples: Interdisciplinary learning for science and society,5D186470-B217-4ABD-9FE1-93CCD57A24C2,NE/X00967X/1,Closed,Research Grant,NERC,7200,Newcastle University,2022-11-01,2023-10-31,Gavin Stewart,Gavin Stewart (PI),"Understanding the global biodiversity crisis requires regular monitoring and reporting. Scientists use a combination of biodiversity data and statistical methods for this purpose. Biodiversity data, however, are not often representative samples of reality. Other research areas have been dealing with similar issues for many years, such as when political scientists try to predict election outcomes from unrepresentative public polling. Accounting for such evidence quality issues is an essential part of the maturation of the use of &quot;big data&quot; in ecology, particularly as research outputs are increasingly being called upon to evaluate both international targets (e.g. those linked to the Convention on Biological Diversity) and national government policies. For example, the forthcoming UK Environment Act is planning to use ecological indicators to both set, and evaluate progress towards, targets relating to the state of the environment. Whilst such indicators have long been used as &quot;official statistics&quot; to inform government, this direct link to legislation is new. Given all the subsequent decisions that this usage might entail (e.g. funding for conservation), accurate appraisals of our environment, including adjustments for unrepresentative sampling, are clearly essential.
 At the same time, the growth of digital communication and IT has created opportunities to visualise and disseminate patterns in data like never before. Even within the recent past the COVID pandemic has increased the rate at which the public are presented with charts and data. Parallel to this, there has been a steady growth in public interest in the environment, with organisations such as the Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES) and environmental charities now keen to summarise and present the &quot;state of nature&quot; to the public to bolster their understanding of ecological issues. Trends in quantities that are considered to indicate the health of some part of our environment are a significant part of this, and are regularly published, promoted, and extensively shared. Such trends are often used as &quot;ecological indicators&quot;, i.e. numbers that directly indicate some change in our environment that we wish to manage or simply understand, an area with a long history of research in ecology. Communicating uncertainty around such metrics is a fundamental part of keeping the public informed about the true state of scientists' knowledge about biodiversity change.
 What is not often considered, however, is the quality of the evidence used to create such statistics. In the UK, most biodiversity indicators are based on amateur naturalist activity, which, whilst frequently of very high quality, is not often the result of random sampling. Globally, data are highly heterogeneous, and even professional monitoring data become unrepresentative at this scale (i.e. there is no overall random sample of earth's biodiversity). However, the robust estimation of time trends in species' distributions or abundances requires representative data. This is ultimately a statistical problem, common to all sciences that wish to understand reality from samples. Random samples are at the heart of strong statistical inference, and so departures from this condition should give us pause for thought. Luckily, statisticians have put much effort into considering how nonrandom samples can be made more reliable, and a rich collection of advice and technical methods from other research areas is available to this end. Our project will investigate this set of techniques to highlight ways in which the ecological evidence base underpinning our knowledge of the current biodiversity crisis can be improved, and how this uncertainty can be accurately and clearly communicated to policymakers and the public.",Environment & Sustainability; Data & Digital; Governance & Policy
Bringing the Social City to the Smart City,DE1CBA6A-8B72-442D-9FDC-AC69888C5D8B,ES/R007918/1,Closed,Fellowship,ESRC,232908,University of Leeds,2018-06-30,2021-06-29,Alison Heppenstall,Alison Heppenstall (Fellow),"Technological developments, such as the rise in GPS enabled devices and Web 2.0 technologies have created social transformations in how we connect and share information through the mass uptake of smart phones and social media platforms (Croitoru et al, 2014). This new generation of mobile technologies work as individual sensors capturing data on a wide range of human behaviours that have been previously hidden. These include data on individual movement, preferences and opinions. Understanding these behaviours is crucial if we are to create a joined up approach to simulating how cities breath and grow. However, considerable work is required in adapting and developing new technologies from machine learning to extract behaviours which can be embedded into cutting-edge modelling techniques. Creating this bridge between 'big' data representing the 'real' world, and simulations producing alternative versions of reality is of value to both academics and policymakers looking to develop new solutions to many of the challenges that today's cities face. To do this we need to understand how factors within the &quot;Social City&quot; (the impact of individual movements and decisions) play out every day in the &quot;Smart City&quot; (data collected from fixed sensors on for example, traffic counts, air pollution or movements of populations). 

However, standard &quot;Smart&quot; City understanding assumes previous flows (e.g. traffic at a specific time of the week, energy requirements or pollution levels over a 24-hour period) will be replicated into the future, lacking both adaptability (how does this alter if a major event in the city is happening?) and predictive power (what is the impact on health if all petrol and diesel vehicles are banned?). This disconnection between the Smart and Social city means policymakers are unable to obtain answers to complex interrelated questions such as: what is the optimal transport infrastructure to promote healthy behaviours and reduce the City's carbon footprint?

Being able to answer these questions is increasingly important as cities are facing significant challenges associated with the pressures from rapidly increasing urban populations. These include improving water and transportation infrastructure, air pollution and waste management as well as provision of adequate housing, energy, health care, education and employment. These pressures on future cities has brought the Smart City agenda to dominate many government initiatives with governments and policymakers looking to new forms of (big) micro data to provide innovative solutions to these challenges. While many models have been developed to forecast future transport, housing or healthcare initiatives, most uses are purely empirical: they lack any consideration of the social processes behind the individual generating the data or the impact of their actions and decisions. This Fellowship will explore how machine learning inspired tools can be used to recognise such emergent patterns and processes within micro-level data sources such as data on how individuals move and use city spaces. Along with the additional methodology of Agent Based Models, which allows smart and social city data to be readily combined, this suite of methods will be explored through looking at the case-studies of (i) the impact of air pollution on individuals and (ii) urban mobility. This work will fundamentally transform our ability to show how the social elements of the Smart City can be recognised and understood, and how to bring 'lived experience' to the analysis of Smart City data.",Housing & Urban; Data & Digital; Health & Wellbeing
C-Urge: Anthropology of Global Climate Urgency,57CE44B1-A1F9-48E2-A8AC-D3DE78E5A000,EP/Y00325X/1,Active,Research Grant,Horizon Europe Guarantee,530502,University of Glasgow,2023-08-31,2027-08-30,Jamie Cross,Jamie Cross (PI),"The overarching objective of this DN is to respond to a growing urgency expressed by European research councils and funding agencies, as well as by governments, publics and students, that the social sciences should contribute to our understanding of and engagement with climate change. We propose that the need for urgent action demands that social science attends to the notion of 'urgency' itself. We want to train doctoral candidates in understanding different perceptions on environmental and climatological urgency, their temporalities, and the political and environmental implications these understandings may have. 10 PhD students will carry out ethnographic research in Africa, Latin-America, Asia or Europe. The researchers will gain non-academic transferable skills in organisations that either disseminate scientific findings, or that work in political or development-related contexts. Experts of 5 European universities (KU Leuven University, University of Edinburgh, Halle University, Uppsala University, and the University of Catania) team up with 6 non-academic partners, and 10 members of the interdisciplinary advisory board in order to ensure that the 10 PhD candidates will receive excellent training opportunities both in academia and outside academia. This ensures the formation of a cohort of junior experts who will be able to contribute to the struggle against the disruptive effects of climate change. C-urge responds to the invitation described in the European Climate Pact to connect and share knowledge about climate change as well as develop, implement and scale up possible solutions and offers a qualitative, innovative, multi-sectoral as well as trans-disciplinary approach to the various degrees of urgency that global climate change inspires. The on-the-ground insights and knowledge that C-urge produces will ultimately strengthen European policy, innovation and responsiveness to climate change and its impacts across the globe.",Environment & Sustainability; Governance & Policy; Global Health
C21 Editions: Editing and Publishing in the Digital Age,CACEED83-2448-47FC-9669-9E894BDCC385,AH/W001489/1,Closed,Research Grant,FIC,323390,University of Sheffield,2021-07-31,2024-07-30,Bridgette Wessels,Bridgette Wessels (Co-I),"C21 Editions proposes to explore and make a direct contribution to the future of digital scholarly editing and digital publishing. When academics mention &quot;scholarly editions&quot;, they are typically referring to expertly curated textual resources or collections, designed to bring some sense of order or meaning to a particular set of materials. Scholarly editing, and the publishing practices that bring such efforts to the public, are hugely important to culture and society, providing the artifacts and insights necessary for understanding ourselves and the past, present, and future of the world around us.

One of the major achievements of the digital humanities is the role its community has played in bringing scholarly editions to digital and web-based platforms, improving their research, pedagogical, and societal value through greater dissemination and access. However, despite all that has been achieved in the three or so decades since DH emerged, the digital scholarly edition is now in danger of becoming obsolete in an increasingly digital world. Most existing digital editions and publishing platforms mimic the structure of books, presenting static content in a page-based structure. Where some interactivity does exist, it is usually in the form of basic hyperlinks to other resources. It is quite possible that very soon, many digital scholarly editions will have been reduced to a curio of the early web.

When we look at the practice of digital scholarly editing, there is a marked lack of machine learning techniques designed to support the curation and analysis of cultural materials. There is also a marked lack of consensus and technical guidance on how best to preserve and share born-digital materials essential to our understanding culture and society in the twenty-first century. For example, it is reasonable to expect that future historians and the general public will want a critically curated edition of the former President Donald Trump's tweets, contextualised using the sea of online political, media and social discourse that his messages either responded to or prompted. However, right now, there is now readily available framework or platform for creating, presenting, and sustaining such an edition.

This is precisely was C21 Editions aims to remedy: by engaging with experts and stakeholder groups, the project will establish the methods and principles for developing the scholarly digital editions of the future. 
Furthermore, it will demonstrate and support the realisation of such future editions by producing two high impact digital editions based on materials which are currently unpublished. Both editions will be used to help develop and test the project's proposed data standard for encoding born-digital texts and a toolkit for machine-assisted editing. The two editions, data standard and toolkit will be developed in conjunction with public bodies such as the National Library of Ireland and made freely available to other scholars and institutions.

In essence, C21 Editions will operate as a response to Joris van Zundert, who calls on theorists and practitioners to &quot;intensify the methodological discourse&quot; necessary to &quot;implement a form of hypertext that truly represents textual fluidity and text relations in a scholarly viable and computational tractable manner&quot;. He warns that, without that dialogue, &quot;we relegate the raison d'etre for the digital scholarly edition to that of a mere medium shift, we limit its expressiveness to that of print text, and we fail to explore the computational potential for digital text representation, analysis and interaction.&quot;",Data & Digital; Culture & Heritage; Global Health
CDRC,21FD7CEC-05DB-41BE-933B-DF3240A6C7A8,ES/S007164/1,Closed,Research Grant,ESRC,1261204,University of Leeds,2019-02-14,2024-02-13,Alison Heppenstall,Alison Heppenstall (Co-I),"Describe the proposed research in simple terms in a way that could be publicised to a general audience (up to 4000 chars)
Social science is concerned with understanding human behaviour patterns. These patterns are increasingly revealed through data which are captured by retailers and other commercial organisations. Example sources of these data include store loyalty cards, smart energy meters, mobile telephone logs, vehicle registrations and smart tickets for trains and buses. The data are not just interesting to academics, they can provide important insights for delivering health care, building houses or roads, and producing sustainable goods and services with reduced environmental impact. This project seeks to develop new approaches to social science research which are needed to exploit new sources of consumer data. The ethical use of data for the public good and protecting the privacy, confidentiality and personal rights of individual consumers is of paramount importance.
This research is different for a number of reasons, for example, because activities can be examined continuously and in real time. In the past, a social scientist might have studied 'typical' commuting flows from a residence to a workplace. Now it is much easier to look at multi-purpose activities or trip-chaining in a single day e.g. delivering children to school, going to work, visiting the gym, having a coffee and doing the shopping before returning home. It requires new methods from artificial intelligence and data science which the project will help to develop. These methods are recognised by governments and business as crucial to future well-being and economic prosperity because data are now so widespread and their content is so revealing.
The outcomes from the project will include novel publications appearing in the scientific literature, but the research will also help businesses and government to plan more effectively, and it will train the next generation of students and research professionals in the applications and analysis of new and emerging forms of data.",Data & Digital; Health & Wellbeing; Governance & Policy
CHESS: Civic Health Equity: from Silos to Systems,206A65AF-40EF-405D-B69D-F184BA522F63,ES/Z503022/1,Active,Research and Innovation,ESRC,2028214,University of Liverpool,2024-09-30,2028-09-29,Gerard McCartney,Gerard McCartney (Co-I),"Background: The UK experiences some of the largest differences in health between places in Europe with people in poorer areas dying on average 9 years younger and living for 19 more years in poor health than those in more affluent areas. These health differences are largely due to economic differences between places leading to higher risks of poverty and its health consequences in places such as Liverpool City Region. These risks have increased following multiple recent crises, exacerbating inequalities.

The Challenge: Across city regions multiple organisations invest in Household Socio-economic Support (HSS) services, for example welfare advice, cash benefits and employment support to try and address these risks. Increasing devolution of these welfare services provides an opportunity to experiment and learn. There is, however, limited evidence of the health impacts of these programmes and the combined benefits of integrating employment, welfare, education and health support across a city region.

Aims and Objectives: CHESS addresses this major problem. By applying quasi-experimental methods, using whole population linked data across LCR (1.6 million people) we will evaluate the health impact of 5 HSS interventions, supporting around 110,000 people per year, investigating differential effectiveness across population subgroups, and synergies across intervention components (e.g. combined effect of action on household income, education and employment).

Our aim is to understand whether, how and for whom current HSS works in LCR, and how it can be adapted, integrated and targeted to maximise benefits for health and health equity. Our objectives are:

To quantify the health impacts of different components of HSS in LCR whether these differ by combination and integration of components and by different population groups.

To estimate the costs and benefits of HSS.

To understand the experience of participants and providers of HSS and the implications of this for service redesign/adaption.

To develop a real-time household vulnerability tool for all 800,000 households in LCR enabling the pro-active identification and targeting of households with socioeconomic support.

To use research findings to adapt system design with stakeholders, to maximise health and health inequalities benefits, refining actionable insights for other city regions.

Anticipated impact: The research will indicate the critical components needed for developing adaptable local social protection systems to meet new challenges (e.g. pandemics, energy crises), that promote health and wellbeing, and prevent a downward spiral following crises. This will lead to major benefits for disadvantaged communities, who are most at risk of economic shocks, in LCR and similar city regions.",Health & Wellbeing; Economy & Development; Housing & Urban
COVID 19 Grant Extension Allocation Queens University of Belfast,3A08E56B-798A-46A6-8E1E-E7F7DE247957,EP/V520524/1,Closed,Research Grant,COVID,2689916,Queen's University Belfast,2020-06-30,2021-09-29,Emma Flynn,Emma Flynn (PI),"Abstracts are not currently available in GtR for all funded research. This is normally because the abstract was not required at the time of proposal submission, but may be because it included sensitive information such as personal details.",Global Health
COVID-19 and rough sleepers: a randomised controlled trial to evaluate models of housing and support to reduce infection and homelessness,B5B2BD51-A46D-4BA1-A357-D11BDD4228E1,ES/V011855/1,Closed,Research Grant,COVID,560627,CARDIFF UNIVERSITY,2020-08-06,2022-03-30,James White,James White (Co-I),"As part of the government's response to COVID-19, 15,000 rough sleepers have now been offered self-contained temporary accommodation in England, mainly in hotels. This approach, which has involved the decanting of hostels, shelters and similar shared provision for rough sleepers, is a short-term response.

When the lockdown ends, decisions will need to be taken about how to house former rough sleepers in line with the UK government's commitment to prevent people from going back to the streets - including, potentially, through the re-opening of shelter-type accommodation. Existing temporary accommodation with shared facilities might make it impossible for people to comply with government social distancing advice. So these decisions will impact on the risk of a second wave of infection from COVID-19 and possibly any mutations.

This proposal outlines a unique time limited opportunity to conduct the first ever randomised controlled trial in the UK, to evaluate the effectiveness and cost-effectiveness of permanent housing on the risk of COVID-19 infection and housing stability for people experiencing homelessness.

That many homeless people are currently waiting to be housed means they can be randomly allocated to different housing solutions at scale quickly. The insights drawn from the short-term impacts of permanent housing can be used to inform other local authorities' responses to the challenges of COVID-19 and the cost-effectiveness of accommodation alternatives more broadly.",Global Health; Housing & Urban; Governance & Policy
Can dual apprenticeships create better and more equitable social and economic outcomes for young people? A comparative study of India and Mexico,31505CC1-A01E-49B6-8750-7A4C8778B344,ES/S004297/1,Closed,Research Grant,ESRC,729235,University of Glasgow,2018-12-01,2021-12-31,Mhairi Mackenzie,Mhairi Mackenzie (Co-I),"The aim of this proposal is to support more effective implementation of dual apprenticeship in India and Mexico and to strengthen the capacity of project partners to evaluate their apprenticeships in the medium to long term. Dual apprenticeships combine a strong component of school-based education with highly regulated work-based training in integrated learning plans leading to a formal qualification and have proven successful in Germanic countries. They are being introduced by the federal governments of India and Mexico to raise the quality of current provision of skills, to improve the labour market conditions for young people, and to increase the productivity levels of the workforce. However, policy transfer across different political, economic and social contexts raise important academic, policy and practice questions: Why and how dual apprenticeships are adopted and re-contextualized by national governments? And, how and under what contextual and institutional circumstances do dual apprenticeships create better and more equitable social and economic outcomes for young people? 
To answer these questions, our study develops a comprehensive research approach that scrutinizes the different, but mutually constitutive stages of policy transfer, from the adoption and re-contextualization of dual apprenticeships in national programmes to their implementation and impact on social inequalities in multiple local contexts. A robust comparative and multi-level methodological strategy that combines quantitative and qualitative methods will contribute to advancing such an innovative approach. First, we will synthesise international evidence on the adoption, implementation and impact of dual apprenticeships in low and middle income countries through a realist literature review. Second, we will analyse the drivers of the adoption and re-contextualization of dual apprenticeships in India and Mexico through the analysis of policy documents and in-depth interviews with key policy stakeholders. Third, we will evaluate the implementation and impact of dual apprenticeships on inequalities of access, learning and labour market outcomes among young people through a mixed methods realist evaluation that will combine a national survey of apprentices in India and Mexico with in-depth interviews to apprentices, teachers/trainers and employers. Finally, we will provide evidence-based policy recommendations to inform current design and implementation of dual apprenticeships at the same time that will strengthen the capacity of project partners to evaluate their apprenticeships through innovative methodologies.
The two middle income countries selected for the comparison, India and Mexico, face important educational and socioeconomic developmental challenges that justify the interest in the impact of their dual apprenticeship programmes. India and Mexico present high percentage of young people out of school in upper secondary education (48%, 42%), high occurrence of informal employment (92%, 60%) and large inequalities of income as measured by the GINI index (35, 48). From a policy transfer perspective, they present similarities and differences in the adoption of dual apprenticeships that make the comparison particularly interesting. Both countries share the strong national ownership of the reform and its wide systemic scope, which has already led to significant legislative changes in both countries. On the other hand, while the adoption of dual apprenticeships in India represents an upgrade of its current model of apprenticeships, in the case of Mexico it implies the creation of the first apprenticeship experience in a country where the whole TVET provision was delivered in schools. Given the different TVET traditions and political economies in these two federal countries, it is expected that the factors driving and mediating the adoption, implementation and impact of their dual apprenticeship programmes will differ between them and at local level.",Economy & Development; Governance & Policy; Inequality & Social Justice
"Cattle vaccination against malignant catarrhal fever: balancing pastoral livelihoods, food security and ecosystem integrity in the Serengeti, Tanzania",0AE0A794-206E-4D62-89C6-B53A8EDB0CDA,BB/T012285/1,Closed,Research Grant,BBSRC,252369,University of Glasgow,2020-03-31,2022-11-30,Alicia Davis,Alicia Davis (Co-I),"Malignant Catarrhal Fever (MCF) is a fatal disease of cattle, caused by alcelaphine herpesvirus-1 and transmitted from wildebeest, which are asymptomatic carriers. The disease poses a substantial burden on the livelihoods and food security of pastoralists in East Africa and is an important factor driving land-use conflict at the borders of wildlife-protected areas. Our recent research has demonstrated the safety and efficacy of an attenuated MCF vaccine for cattle, which has many potential benefits for livelihoods and nutritional status of poor livestock-keeping families and the sustainability of mixed livestock-wildlife land-use system. However, widespread cattle vaccination could also have some adverse environmental and conservation consequences which might need to be managed or mitigated. As a result of our earlier research, an MCF cattle vaccine is likely to become commercially available, which could lead to significant livestock productivity gains and land-use changes around wildlife-protected areas. In anticipation of this, and to generate data that will allow preparation and planning by wildlife, livestock and village authorities, this study aims to carry out an observational study in the Serengeti ecosystem of northern Tanzania to examine revealed preferences for MCF vaccine use and the consequences of vaccine use on MCF incidence, milk availability to family members, cattle movements and management, livestock-wildlife interactions, vegetation productivity and human-wildlife conflict. The study will involve household surveys, analysis of remote-sensing data on the environment, livestock movement studies and analysis of wildebeest movement and behaviour patterns. The project team comprises an interdisciplinary partnership involving veterinary epidemiologists, MCF vaccine specialists, environmental and ecological scientists, environmental economists and social scientists from the UK, working together with government and non-governmental partners in Tanzania.",Conflict & Security; Health & Wellbeing; Environment & Sustainability
Challenges and Solutions for Ageing High-Rise Neighbourhoods in Japan and the UK,CCAFA9FD-4B11-4064-815C-A6C1EC992EA3,ES/S013717/1,Closed,Research Grant,FIC,49905,CARDIFF UNIVERSITY,2019-01-16,2020-01-15,James White,James White (Co-I),"According to the United Nations, population ageing is poised to become one of the most significant social transformations of the 21st century, with implications for nearly every sector of society. This demographic shift will challenge national economic, health and support systems. The built form of cities poses a particularly onerous challenge as, unlike policy, it is physically difficult to change. As people age their life spaces shrink, thereby increasing the importance of the immediate built environment. Without reliable transit, easy access to services, family and friends, older adults may face loneliness, depression and other health risks as their physical and cognitive world shrinks. Dense residential developments, such as high-rise neighbourhoods, offer an environment amenable to high quality late life independent living. However, not all high-rise developments may be suited for the needs of an older population. In Japan, the world's oldest nation with 27% of the population 65 years of age or older, the housing stock is constantly renewed. Due to the low quality of construction to meet demand of the booming population after the Second World War, and more recently, recurring code modifications to improve earthquake resilience, the average lifespan of a reinforced-concrete apartment building is only approximately 35 years. The constant renewal of the housing stock provides the opportunity to adapt for an ageing population. The UK, in contrast, has a younger population (18% of population is 65 years of age or older) and older, mostly low-rise housing mixed with newer high-rise apartments being built in urban centres. However, like many countries around the world, the UK is ageing rapidly. By 2050, older adults in the UK are expected to make up one quarter of the population. This begs the question of whether the UK built environment is adequately prepared for an ageing population.

While still emerging in the UK, ageing is an established element of Japanese society. This presents a unique and timely opportunity to learn from the challenges and successes in Japan, in order plan for a supportive built environment that minimizes the double risk of getting old in an ageing built environment. This collaboration aims to share knowledge and experience of historic and current practice and research on ageing high-rise neighbourhoods in the UK and Japan to identify future challenges and develop solutions. Through a series of workshops, site visits, and collaborations, we will integrate and advance our understanding of how to manage the linked concerns of demographic and physical ageing, referred to here as double-ageing, of high-rise neighbourhoods. 

Specifically, the goal of the proposed activities will be to: (1) share UK and Japanese inter-disciplinary expertise on double-ageing high-rise neighbourhoods, (2) evaluate current efforts to identify, adapt, and manage double-ageing high-rise neighbourhoods in Japan, explore similar future challenges in the UK, and consider the applicability of policy, design, and cultural transfer between contexts, (3) define the future challenges, opportunities, and gaps in knowledge related to double-ageing high-rise development in Japan and the UK, and (4) jointly develop a new multidisciplinary network of researchers in collaboration with practitioners and establish a future research agenda on double-ageing high-rise neighbourhoods.

Drawing on a range of disciplinary and contextual knowledge we will seek to identify issues to these present day built environment challenges as well as future solutions. To achieve this the project brings together expertise on the study of the built environment from a range of disciplines, including, geography, urban planning, sociology, and urban design. In doing so we will contribute to a deeper understanding of the role of path dependency, demographic change, the lived experience, and design in double-ageing high-rise neighbourhoods.",Housing & Urban; Environment & Sustainability; Governance & Policy
Civic Imaginary Partnerships: Cultures of participation and local decision making,F562F2D8-90E5-4B70-A089-05D929AB0E02,MR/Y017404/1,Active,Fellowship,UKRI FLF,1175361,University of Glasgow,2024-11-11,2028-11-10,Michael Howcroft,Michael Howcroft (Fellow),"In the context of widening inequality and declining trust in democracy, a renewed political attention to place has revealed the need for new methods to understand community aspirations and ideas. Place-based policy often claims to build community capacity, enhance social capital and strengthen neighbourhood bonds, outcomes which are difficult to evidence by traditional approaches and metrics, and need critical investigation. Policymakers need new ways to understand the lived impacts of place and the relational, felt experiences of policy interventions. This fellowship will foster new Civic Imaginary Partnerships, collaborative, interdisciplinary hubs that blend policy-facing research with grassroots creative practice. Civic imaginaries are the ways that people think, feel and dream about the futures of their places. Researching civic imaginaries creates a vocabulary and a geographically specific process to 'work out' and make tangible these relational and felt forces of place. 

The fellowship will combine theory, practice and policy through the multi-site investigations of four civic challenges: i) Understanding and improving voter engagement; ii) Understanding and improving engagement with local services and public spaces; iii) Understanding and improving public-private place-making; iv) Understanding the lived experience of &quot;successful&quot; community action, including community-led climate initiatives. Phase 1 will map and review the paradigms, goals and methods of place-based interventions since 2016, through desk research, documentary analysis and interviewing of key informants. It will survey current academic approaches to understanding civic culture in the UK and map contemporary community-led development and international civic networks. Phase 2 employs long-term ethnographic fieldwork as its main methodological approach, with participant observation in four case neighbourhoods. This will involve living alongside participants to understand the civic challenges and cultures of participation from their point of view. We will co-create activities with partners and stakeholders, developing a model for civic imaginary partnerships that can encompass a range of civic challenges and place typologies. In Phase 3 we will test and refine the model with policy partners and collaborators to produce a new model for policymakers, and a scalable, transferable framework to support future place-based policy. 

The fellowship draws on a unique combination of nationwide partners, including a government department, four local authorities and four community-based social enterprises. It will synthesise learning from national and international models to develop an innovative, multi-disciplinary approach that advances understanding about participation and local decision making. It will produce a combination of traditional academic outputs, policy resources and innovative artistic interventions. Drawing on the fellow's experience as a creative director-turned academic, the fellowship will experiment with different artistic forms to co-produce four large-scale works in response to the research findings. We will also co-produce a high-quality film that explores the value of imaginative practice in addressing civic challenges. These will enable us to enrich audiences' understandings of the civic imagination's multiple affects, resonances and contradictions and evidence place-based policy impacts directly to policymakers. We will also produce an informational project website and a national symposium. Academic outputs will advance new theories of the civic imaginary for a UK context, new understandings of the lived experience of place-based policy interventions, and new ways to lead place-based research. The Fellowship will enable the PI to grow as leader in the experimentation of new cross-disciplinary methods and place-based policy research.",Governance & Policy; Culture & Heritage; Inequality & Social Justice
Colombia River Stories:improving socio-environmental understandings for building sustainable peace,0DF85263-DF09-4ED5-B37A-3ED3BD95CAE6,ES/S001883/1,Closed,Research Grant,Newton Fund,320843,University of Glasgow,2018-08-13,2021-08-12,Mo Hume,Mo Hume (PI),"Colombia is in the process of transitioning from one of the most protracted civil conflicts in the world to peace. However, one of the major societal issues for post-conflict transitions in Colombia is how to ensure the inclusion and participation of vulnerable and marginalised groups in transition processes so that their knowledges, abilities and capacities are represented, and so that they can influence post-conflict development. This raises questions of how innovative community- engaged and participatory processes can achieve greater inclusivity in peace building processes. It also raises the question of how different conflict actors can be encouraged and facilitated to articulate their knowledge and experience of conflict in ways that enable their actions to be explained to one another, and that support a shift from narrow understandings of the causes of conflict based on personal experience to more expansive understandings that are based on collective experiences.
In this research, we focus on riverine communities along the Atrato River - the main artery of Choco. These communities have been deeply impacted by armed actors who are engaged in widespread, illegal alluvial gold mining which is a key factor in their forced displacement and the loss of traditional, sustainable livelihoods. Despite a 2017 Colombian Constitutional Court ruling to empower riverine communities with 'bio-cultural rights' that protect their land title and livelihoods, they remain marginalised. They struggle to make their voices heard and to influence and inform peace building processes. This marginalisation has also been experienced by the river itself, whose voice has been silenced through the abandonment of state-sponsored environmental monitoring programmes at the height of the conflict. As a result, the effects of conflict and alluvial mining on the form and function of the river, and the impacts of these on interactions between armed actors, the river, and the communities it sustains are poorly understood. This will only be addressed if marginalised voices of communities and the river are articulated and amplified so that their knowledges, abilities and capacities can be integrated into sustainable peace building processes. Achieving this is the primary aim of this project.
Conceptually, our project builds on a key emphasis of peace processes worldwide: the capture and re-telling of testimony so that conflict actors can better appreciate the complexities of the conflict in which they are engaged, and the inter-relationships and feedbacks between their actions, and those of others, which fuel the conflict. Such knowledge is a fundamental precursor to the development of sustainable and feasible strategies for peace. The project is structured and designed to elicit, analyse and co-produce testimonies as an integrated 'river story', sourced from multiple participants and perspectives - including marginalised human actors and the river itself. The project therefore uses an innovative and multi- disciplinary methodology that brings social scientists and natural scientists together - integrating their research methods and techniques to capture human stories through community-level, participatory research and the river's story through field- based scientific monitoring and environmental reconstruction and mapping. The story books that are produced, and the policy briefs that they underpin, will be the vehicles through which policy-makers are bought into dialogue with the marginalised voices of both riverine communities and the river itself, and thorough which they improved understandings of the key actors and drivers of conflict in Choco' and the priorities and strategies for sustainable peace building, will be gained.",Conflict & Security; Governance & Policy; Economy & Development
